ID,Topics
CVE-2002-0392,"memory, denial of service, availability, elevation of privilege, code execution, insufficient testing"
CVE-2002-0661,"path traversal, input validation, bypassing restrictions, confidentiality, linux, insufficient testing"
CVE-2002-0840,"XSS, input validation, sessions, code injection, javascript, cookies"
CVE-2002-1156,"confidentiality, design mistake"
CVE-2002-1593,"pointers, memory, bounds checking, denial of service, availability"
CVE-2003-0020,"input validation, code injection"
CVE-2003-0083,"input validation, requirements"
CVE-2003-0253,"threads, C, IPC, denial of service, availability, multiprocessing, edge cases, requirements"
CVE-2004-0113,"SSL, cryptography, insufficient testing, memory, confidentiality, denial of service, availability"
CVE-2004-0174,"race conditions, IPC"
CVE-2004-0488,"buffer overflow, code execution, SSL, cryptography, bounds checking, memory, design mistake"
CVE-2004-0493,"denial of service, memory, confidentiality, design mistake"
CVE-2004-0747,"input validation, buffer overflow, memory, elevation of privilege, bounds checking, environment variables, miscommunication"
CVE-2004-0751,"buffer overflow, SSL, cryptography, memory, bounds echking, denial of service, availability, code execution"
CVE-2004-0809,"memory, denial of service, availability, bounds checking, design mistake"
CVE-2004-0811,"authentication, bypassing restrictions"
CVE-2004-0885,"bypassing restrictions, SSL, cryptography"
CVE-2004-0942,"memory, resource exhaustion, denial of service, availability"
CVE-2004-1834,"confidentiality, memory, authentication, cache"
CVE-2005-1268,"SSL, cryptography, buffer overflow, memory, integrity, denial of service, availability"
CVE-2005-2088,"proxies, HTTP requests, XSS, design mistake, miscommunication"
CVE-2005-2700,"SSL, cryptography, configuration, design mistake"
CVE-2005-2728,"denial of service, availability, buffer overflow, memory, resource exhaustion, confidentiality"
CVE-2005-2970,"multiprocessing, insufficient testing, threads, resource exhaustion, denial of service, availability"
CVE-2005-3352,"XSS, design mistake, input validation, cookies"
CVE-2005-3357,"SSL, cryptography, denial of service, availability, pointers, memory, bounds checking"
CVE-2006-3747,"denial of service, availability, buffer overflow, memory, integrity, protocols, bounds checking"
CVE-2006-5752,"code injection, character encodings"
CVE-2007-1862,"memory, confidentiality, insufficient testing"
CVE-2007-3847,"linux, denial of service, threads, buffer overflow, availability, memory, confidentiality, multiprocessing"
CVE-2007-5000,"code injection, HTML, javascript, integrity, images, complex inputs, XSS"
CVE-2007-6388,"XSS, code injection, input validation"
CVE-2007-6420,"CSRF, authentication, proxies, bypassing restrictions, access controls, denial of service, availability"
CVE-2007-6422,"proxies, denial of service, availability, threads, input validation, edge cases"
CVE-2008-0005,"character encodings, XSS, code execution, javascript, internationalization"
CVE-2008-0456,"insufficient testing, HTTP requests"
CVE-2008-2364,"proxies, memory, resource exhaustion, buffer overflow, design mistake, denial of service, availability"
CVE-2008-2939,"XSS, javascript, code injection, FTP, proxies, design mistake, input validation"
CVE-2008-6998,"browsers, URL, buffer overflow, memory, pointers, code execution, design mistake"
CVE-2009-1191,"HTTP requests, confidentiality"
CVE-2009-1195,"bypassing restrictions, code execution, elevation of privilege, C, configuration, design mistake"
CVE-2009-1412,"URL, browsers, code execution, confidentiality, code injection, XSS"
CVE-2009-1413,"XSS, browsers, javascript"
CVE-2009-1414,"browsers, XSS, code injection"
CVE-2009-1441,"buffer overflow, browsers, images, complex inputs, denial of service, availability, code execution, IPC, UI"
CVE-2009-2060,"authentication, HTTP requests, man-in-the-middle, confidentiality"
CVE-2009-2693,"archives, path traversal, integrity, confidentiality, denial of service, availability, insufficient testing, exception handling"
CVE-2009-2901,"authentication, windows"
CVE-2009-2902,"java, access controls, permissions, integrity, archives"
CVE-2009-3095,"authorization, FTP, input validation, bypassing restrictions, integrity, code execution, requirements"
CVE-2009-3263,"XSS, code injection, UI, XML"
CVE-2009-3548,"windows, insecure defaults, elevation of privilege, miscommunication"
CVE-2009-3555,"insufficient testing, man-in-the-middle, spoofing, integrity, authentication, design mistake, cryptography"
CVE-2009-3934,"denial of service, availability, browsers"
CVE-2010-0425,"API, browsers, extensions, memory, integrity, code execution"
CVE-2010-0643,"browsers, insecure defaults, cookies, confidentiality, proxies, requirements"
CVE-2010-0644,"browsers, proxies, DNS, confidentiality"
CVE-2010-0656,"browsers, directory indexing, denial of service, availability"
CVE-2010-0660,"confidentiality, browsers, SSL, browsers, cryptography, edge cases"
CVE-2010-0662,"memory, trust, images, complex inputs, denial of service, availability, integer overflow, confidentiality, design mistake"
CVE-2010-0663,"buffer overflow, memory, denial of service, availability, images, complex inputs"
CVE-2010-0664,"URL, browsers, memory, denial of service, availability, recursion"
CVE-2010-1157,"authentication, configuration, bypassing restrictions, confidentiality"
CVE-2010-1231,"browsers, URL, cookies, PDF, design mistake, malware, miscommunication"
CVE-2010-1452,"configuration, path traversal, denial of service, availability, cache"
CVE-2010-1502,"URL, input validation, confidentiality, browsers"
CVE-2010-1503,"XSS, browsers, code injection, confidentiality"
CVE-2010-1504,"browsers, code execution, URL, design mistake"
CVE-2010-1505,"race conditions, browsers, privilege management, HTTP requests, forms, CSRF, design mistake, defense in depth"
CVE-2010-1623,"SSL, cryptography, memory, resource exhaustion, denial of service, availability, design mistake"
CVE-2010-1870,"java, bypassing restrictions, character encodings"
CVE-2010-2068,"confidentiality, HTTP requests, threads, insufficient testing"
CVE-2010-2107,"browsers, memory, integrity, malware, code execution"
CVE-2010-2108,"bypassing restrictions, extensions, miscommunication, requirements"
CVE-2010-2299,"clipboards, images, memory, pointers, complex inputs"
CVE-2010-2652,"browsers, denial of service, availability, javascript, UI, popups, design mistake"
CVE-2010-2898,"mimetypes, browsers, javascript, denial of service, availability, XSS, memory, code execution"
CVE-2010-2903,"browsers, linux, spoofing, input validation"
CVE-2010-3111,"fonts, complex inputs, images"
CVE-2010-3112,"UI, denial of service, availability, browsers"
CVE-2010-3117,"browsers, denial of service, availability, notifications, UI"
CVE-2010-3118,"browsers, URL, sniffing, confidentiality, HTTP requests, requirements, edge cases, design mistake"
CVE-2010-3246,"browsers, popups, bypassing restrictions, forms"
CVE-2010-3247,"browsers, character encodings, spoofing, URL, internationalization, insufficient testing"
CVE-2010-3248,"javascript, clipboard, IPC, iframes, browsers, confidentiality, integrity, recursion"
CVE-2010-3250,confidentiality
CVE-2010-3251,"IPC, browsers, pointers, bounds checking, denial of service, availability, memory"
CVE-2010-3252,"browsers, memory, notifications"
CVE-2010-3256,"browsers, resource exhaustion, design mistake"
CVE-2010-3411,"linux, browsers, denial of service, availability, logic errors"
CVE-2010-3413,"popups, browsers, denial of service, availability, bounds checking"
CVE-2010-3415,"memory, integrity, bounds checking, design mistake"
CVE-2010-3718,"insufficient testing, permissions, confidentiality, integrity"
CVE-2010-4008,"memory, XML, denial of service, availability, code injection"
CVE-2010-4033,"browsers, denial of service, availability, forms"
CVE-2010-4034,"forms, input validation, denial of service, availability, memory"
CVE-2010-4035,"denial of service, availability, pointers, memory, browsers"
CVE-2010-4036,"URL, spoofing, browsers"
CVE-2010-4039,"linux, browsers, environment variables"
CVE-2010-4205,"browsers, C, denial of service, availability, defense in depth"
CVE-2010-4476,"java, integer overflow, denial of service, availability"
CVE-2010-4482,"bypassing restrictions, popups, UI, XSS, extensions, origin policy, input validation"
CVE-2010-4484,"databases, SQL, denial of service, availability, API"
CVE-2010-4485,"browsers, denial of service, availability, resource exhaustion, memory, design mistake"
CVE-2010-4487,"mac, linux, browsers, flash, confidentiality, code execution"
CVE-2010-4488,"proxies, browsers, denial of service, availability, design mistake, authentication"
CVE-2010-4490,"video, complex inputs, denial of service, availability, buffer overflow, bounds checking, integrity, edge cases"
CVE-2010-4494,"double-free, memory, XML, browsers, integrity, denial of service, availability"
CVE-2010-4574,"serialization, browsers, denial of service, availability, integrity"
CVE-2010-4575,"denial of service, availability, browsers, extensions"
CVE-2010-4576,"denial of service, pointers, bounds checking, memory, javascript, browsers, exception handling"
CVE-2011-0013,"code injection, design mistake"
CVE-2011-0470,"browsers, extensions, denial of service, availability, notofications, race conditions"
CVE-2011-0477,"video, complex inputs, denial of service, memory, availability"
CVE-2011-0485,"complex inputs, code execution, pointers, memory"
CVE-2011-0776,"mac, browsers, bypassing restrictions, code execution"
CVE-2011-0779,"browsers, extensions, denial of service, availability, cryptography, public key, edge cases"
CVE-2011-0783,"logic errors, audio, complex inputs, denial of service, availability, edge cases"
CVE-2011-0784,"audio, logic errors, complex inputs"
CVE-2011-1059,"denial of service, availability, browsers, memory, use-after-free, bounds checking"
CVE-2011-1088,"permissions, bypassing restrictions, authentication, XML"
CVE-2011-1108,"javascript, UI, denial of service, availability, code execution, insufficient testing"
CVE-2011-1112,"images, XML, memory, bounds checking, complex inputs, edge cases"
CVE-2011-1113,"serialization, browsers, bounds checking, buffer overflow, memory"
CVE-2011-1120,"UI, browsers, denial of service, availability, input validation, buffer overflow, memory, edge cases"
CVE-2011-1122,"UI, denial of service, availability, browsers, buffer overflow, memory, bounds checking, UI"
CVE-2011-1183,"configurations, XML, bypassing restrictions, access controls, HTTP requests"
CVE-2011-1184,"authentication, elevation of privilege, design mistake"
CVE-2011-1186,"linux, browsers, popups, denial of service, availability"
CVE-2011-1196,"audio, complex inputs, buffer overflow, iframe, denial of service, availability"
CVE-2011-1198,"video, cimplex inputs, denial of service, availability, code execution, bounds checking, threads"
CVE-2011-1305,"linux, mac, denial of service, race conditions, availability, browsers, databases, SQL"
CVE-2011-1413,"linux, javascript, browsers, denial of service, availability"
CVE-2011-1434,"browsers, threads, denial of service, availabilitity, mimetypes, design mistake"
CVE-2011-1435,"browsers, extensions, bypassing restrictions, access controls, confidentiality, design mistake"
CVE-2011-1439,"bypassing restrictions, spoofing, code execution, windows, linux, denial of service, availability, IPC, requirements, design mistake"
CVE-2011-1465,"HTTP, browsers, denial of service, availability"
CVE-2011-1475,"confidentiality, insufficient testing"
CVE-2011-1772,XSS
CVE-2011-1807,"buffer overflow, URL, code execution, bounds checking, memory"
CVE-2011-1809,"UI, use-after-free, memory, integrity, denial of service, availability"
CVE-2011-1811,"forms, denial of service, availability"
CVE-2011-1812,"bypassing restrictions, extensions, browsers, permissions, spoofing, edge cases"
CVE-2011-1813,"browsers, iframes, javascript, pointers, denial of service, availability, C"
CVE-2011-1817,"browsers, denial of service, availability"
CVE-2011-2204,"access controls, java, extensions, memory, databases, confidentiality, authorization, requirements, exception handling"
CVE-2011-2332,XSS
CVE-2011-2345,"denial of service, bounds checking, availability, input validation, memory, confidentiality, API, defense in depth"
CVE-2011-2358,"browsers, extensions, UI, requirements"
CVE-2011-2361,"authentication, confidentiatility, spoofing, trust, browsers"
CVE-2011-2526,"bypassing restrictions, access controls, denial of service, input sanitization, edge cases"
CVE-2011-2729,"linux, configuration, insufficient testing, code injection, abstraction, encapsulation, malware"
CVE-2011-2782,"UI, browsers, linux, permissions, design mistake"
CVE-2011-2783,"browsers, extensions, integrity"
CVE-2011-2785,"browsers, extensions, URL, input validation, requirements"
CVE-2011-2786,"complex inputs, audio, phishing, UI, popups, requirements"
CVE-2011-2787,"resources, denial of service, availability, edge cases, design mistake"
CVE-2011-2821,"XML, complex inputs, double-free, memory, denial of service, availability"
CVE-2011-2834,"memory, double-free, XML, denial of service, availability"
CVE-2011-2835,"race conditions, API, cache"
CVE-2011-2836,"browsers, extensions, code execution"
CVE-2011-2837,"linux, browsers, denial of service, availability, bounds checking, configuration, design mistake"
CVE-2011-2840,"spoofing, UI, browsers"
CVE-2011-2843,"complex inputs, IPC, bounds checking, denial of service, availability, memory, buffer overflow"
CVE-2011-2845,"spoofing, URL, browsers"
CVE-2011-2848,"UI, spoofing, browsers, phishing, SSL, cryptography, design mistake"
CVE-2011-2849,"IPC, browsers, memory, denial of service, availability, edge cases"
CVE-2011-2850,"bounds checking, fonts, denial of service, availability"
CVE-2011-2851,"video, complex inputs, denial of service, availability"
CVE-2011-2858,"resources, UI, browsers, integer overflow, bounds checking, denial of service, availability"
CVE-2011-2859,"browsers, extensions, man-in-the-middle, code execution, elevation of privilege, design-mistake, permissions, requirements"
CVE-2011-2864,"character encodings, denial of service, availability, memory, bounds checking, XSS"
CVE-2011-3022,"javascript, browsers, confidentiality, sniffing"
CVE-2011-3024,"browsers, SSL, cryptography, trust, bypass restrictions, denial of service, availability"
CVE-2011-3026,"images, complex inputs, browsers, resource exhaustion, buffer overflow, memory"
CVE-2011-3045,"images, resource exhaustion, integer overflow, denial of service, availability, complex inputs"
CVE-2011-3049,"browsers, HTTP requests, extensions, API"
CVE-2011-3061,"IPC, SSL, cryptography, man-in-the-middle, spoofing, confidentiality, design-mistake, requirements, design mistake"
CVE-2011-3079,"IPC, input validation, permissions, elevation of privilege"
CVE-2011-3083,"denial of service, availability, URL, complex inputs, browsers, FTP, video"
CVE-2011-3092,"browsers, javascript, regular expressions, C, memory, bounds checking, CSS, code execution, buffer overflow, API"
CVE-2011-3094,"input validation, character encodings, fonts, code execution, denial of service, availability"
CVE-2011-3096,"linux, denial of service, availability, use-after-free, UI, browsers"
CVE-2011-3190,"confidentiality, input validation, bypassing restrictions, authentication, design mistake, edge cases"
CVE-2011-3192,"denial of service, availability, resource exhaustion, bounds checking, memory"
CVE-2011-3376,"bypassing restrictions, design mistake, code execution"
CVE-2011-3876,canonicalization
CVE-2011-3880,"browsers, XSS, CSRF, character encodings, bypassing restrictions"
CVE-2011-3882,"use-after-free, memory, denial of service, availability, complex inputs, confidentiality, buffer overflow"
CVE-2011-3884,"DOM, denial of service, availability, memory, edge cases"
CVE-2011-3898,java
CVE-2011-3923,"bypassing restrictions, code execution, java, edge cases, input validation"
CVE-2011-3925,"browsers, memory, denial of service, availability"
CVE-2011-3953,"clipboards, confidentiality, man-in-the-middle, defense in depth"
CVE-2011-3956,"origin policy, extensions, browsers, elevation of privilege, bypassing restrictions"
CVE-2011-3959,"buffer overflow, browsers, denial of service, availability"
CVE-2011-3960,"browsers, audio, denial of service, availability, complex inputs, insufficient testing"
CVE-2011-3961,"race conditions, browsers, code execution, denial of service, availability"
CVE-2011-3964,"browsers, UI, spoofing, URL, javascript, design mistake"
CVE-2011-3965,"browsers, denial of service, availability, memory, pointers"
CVE-2011-5319,"side-channel attacks, sensors"
CVE-2012-0022,"java, denial of service, input validation, availability, resource exhaustion, design mistake"
CVE-2012-0031,"denial of service, availability, memory"
CVE-2012-3439,"authentication, bypassing restrictions, cache, sessions, design mistake, PRNG"
CVE-2012-4386,"CSRF, input validation"
CVE-2012-4387,"denial of service, availability, complex inputs, resource exhaustion"
CVE-2012-5108,"audio, threads, browsers, race conditions, memory, pointers, code execution, complex inputs"
CVE-2012-5149,"integer overflow, audio, complex inputs, denial of service, availability"
CVE-2012-5152,"memory, video, bounds checking, C, complex inputs"
CVE-2012-5154,"integer overflow, browsers, denial of service, availability, memory"
CVE-2012-5155,"bypassing restrictions, privilege management, browsers, confidentiality, code execution, mac"
CVE-2013-0831,path traversal
CVE-2013-0841,"browsers, denial of service, availability, bounds checking, design mistake"
CVE-2013-0843,"mac, buffer overflow, denial of service, availability, integrity, audio, complex inputs, confidentiality"
CVE-2013-0881,"denial of service, availability, video, complex inputs, bounds checking, memory, buffer overflow, requirements"
CVE-2013-0884,"elevation of privilege, HTTP requests"
CVE-2013-0887,"windows, linux, mac, browsers, UI, bypassing restrictions"
CVE-2013-0889,"code execution, browsers, input validation"
CVE-2013-0891,"integer overflow, buffer overflow, browsers, denial of service, availability, confidentiality, bounds checking, insufficient testing"
CVE-2013-0895,"browsers, linux, mac, canonicalization, code execution, path traversal, clipboards"
CVE-2013-0907,"race conditions, browsers, denial of service, availability, threads, video, complex inputs"
CVE-2013-0910,"UI, authorization, bypassing restrictions, extensions, authentication"
CVE-2013-0925,"browsers, extensions, permissions, confidentiality"
CVE-2013-1896,"protocols, HTTP requests, SSH, cryptography, denial of service, availability, design mistake"
CVE-2013-1965,"java, code injection, design mistake, input validation, edge cases"
CVE-2013-1966,"URL, input validation, complex inputs"
CVE-2013-2071,"exception handling, forms, confidentiality"
CVE-2013-2115,"code injection, URL, bypassing restrictions, design mistake"
CVE-2013-2134,"code injection, code execution, java, input validation, design mistake"
CVE-2013-2135,"input validation, URL, complex inputs, code execution"
CVE-2013-2248,"URL, authentication, bypassing restrictions, design mistake"
CVE-2013-2249,"sessions, cookies, browsers, code execution, design mistake, sessions, authentication"
CVE-2013-2251,"forms, input validation, code execution, defense in depth"
CVE-2013-2837,"XMl, images, complex inputs, integrity"
CVE-2013-2839,"images, clipboard, XML, validation, memory, code execution, complex inputs, cache"
CVE-2013-2842,"denial of service, browsers, use-after-free, memory, bounds checking"
CVE-2013-2844,"use-after-free, CSS, pointers, browsers, denial of service, memory, availability"
CVE-2013-2845,"use-after-free, memory, audio, complex inputs, browsers, denial of service, availability, integrity, pointers, design mistake"
CVE-2013-2855,"browsers, HTML, C, elevation of privilege, denial of service, availability, javascript, API, setters are dangerous"
CVE-2013-2858,"browsers, audio, complex inputs, memory, use-after-free, denial of service, availability, design mistake"
CVE-2013-2861,"images, complex inputs, memory, use-after-free, integrity, denial of service, availability, miscommunication"
CVE-2013-2873,"use-after-free, memory, browsers, miscommunication"
CVE-2013-2875,"browsers, forms, denial of service, availability, memory, design mistake"
CVE-2013-2878,"bounds checking, input validation, denial of service, availability"
CVE-2013-2879,"XSS, phishing, confidentiality, trust, registration"
CVE-2013-2900,"path traversal, design mistake"
CVE-2013-2904,"use-after-free, memory, denial of service, availability"
CVE-2013-2914,"browsers, denial of service, availability"
CVE-2013-2916,"spoofing, UI"
CVE-2013-2926,"use-after-free, memory, UI, denial of service, availability"
CVE-2013-4310,"input validation, bypassing restrictions, XSS, requirements, miscommunication"
CVE-2013-4316,"URL, input validation, insecure defaults, configuration"
CVE-2013-4444,"javascript, code execution, confidentiality, edge cases"
CVE-2013-6622,"use-after-free, memory, browsers, denial of service, availability"
CVE-2013-6624,"browsers, use-after-free, memory, denial of service, availability, pointers, code execution, DOM, design mistake"
CVE-2013-6625,"use-after-free, memory, code execution, DOM, miscommunication"
CVE-2013-6627,"bounds checking, confidentiality, design mistake, miscommunication"
CVE-2013-6628,"SSL, cryptography, trust, IPC, browsers, authentication, authorization, sessions, design mistake"
CVE-2013-6629,"images, complex inputs, memory, confidentiality"
CVE-2013-6634,"validation, URL, authentication, session hijacking, browsers"
CVE-2013-6635,"DOM, denial of service, availability, javascript, code execution"
CVE-2013-6636,"browsers, input validation, spoofing, URL"
CVE-2013-6643,"authentication, browsers, popups, URL, spoofing, confidentiality"
CVE-2013-6645,"pointers, memory, use-after-free, denial of service, availability, browsers"
CVE-2013-6646,"browsers, databases, memory, integrity, denial of service, availability, design mistake"
CVE-2013-6649,"images, XML, browsers, denial of service, availability, code execution, memory, use-after-free, pointers, validation, C, complex inputs, edge cases"
CVE-2013-6653,"race conditions, threads, resources, browsers, denial of service, availability, miscommunication"
CVE-2013-6655,"buffer overflow, use-after-free, memory, bounds checking, design mistake"
CVE-2013-6656,"XSS, javascript, character encodings, confidentiality"
CVE-2013-6657,"XSS, brute force, browsers, confidentiality, origin policy, bypassing restrictions"
CVE-2013-6658,"javascript, use-after-free, memory, denial of service, availability, browsers"
CVE-2013-6659,"SSL, cryptography, trust, confidentiality, sessions"
CVE-2013-6660,"complex inputs, confidentiality, browsers"
CVE-2013-6663,"images, XML, complex inputs, memory, use-after-free, denial of service, availability, design mistake"
CVE-2013-6665,"buffer overflow, images, denial of service, memory, resources, browsers, UI, availability, complex inputs"
CVE-2013-6666,"flash, input validation, XSS, bypassing restrictions, origin policy, design mistake"
CVE-2014-0050,"resource exhaustion, denial of service, availability, edge cases"
CVE-2014-0050,"denial of service, availability, bounds checking"
CVE-2014-0094,"bypassing restrictions, code execution, java, access controls, confidentiality, design mistake"
CVE-2014-0095,"threads, denial of service, availability, insufficient testing"
CVE-2014-0098,"cookies, browsers, denial of service, availability, threads, multiprocessing, edge cases"
CVE-2014-0112,"bypassing restrictions, cookies, insufficient testing"
CVE-2014-0113,"cookies, access controls, code execution, design mistake, permissions"
CVE-2014-0116,"bypassing restrictions, input sanitization, regular expressions, cookies, miscommunication, insufficient testing"
CVE-2014-0117,"proxies, complex inputs, input validation, insufficient testing"
CVE-2014-0231,"protocols, denial of service, availability, resource exhaustion, insufficient testing"
CVE-2014-1568,"cryptography, spoofing"
CVE-2014-1700,"use-after-free, memory, denial of service, availability, audio, complex inputs"
CVE-2014-1701,"XSS, origin policy, input validation, code execution, iframes"
CVE-2014-1702,"use-after-free, threads, denial of service, availability"
CVE-2014-1703,"IPC, memory"
CVE-2014-1713,"memory, denial of service, availability, pointers, C"
CVE-2014-1714,"code execution, clipboard, IPC, input validation, denial of service, availability, insufficient testing"
CVE-2014-1715,path traversal
CVE-2014-1718,"integer overflow, memory, denial of service, availability, bypassing restrictions"
CVE-2014-1719,"memory, API, denial of service, availability"
CVE-2014-1723,"character encodings, URL, UI, spoofing, browsers, requirements"
CVE-2014-1726,"UI, origin policy, bypassing restrictions, path traversal, design mistake"
CVE-2014-1727,"UI, use-after-free, memory, denial of service, availability"
CVE-2014-1732,"denial of service, availability, complex inputs, design mistake"
CVE-2014-1733,"browsers, pointers, memory, denial of service, availability, edge cases, requirements"
CVE-2014-1740,"memory, denial of service, availability, confidentiality, insufficient testing, edge cases"
CVE-2014-1741,"fonts, integer overflow, denial of service, availability"
CVE-2014-1743,"denial of service, availability, use-after-free, memory, miscommunication"
CVE-2014-1744,"integer overflow, audio, complex inputs, denial of service, availability, memory, buffer overflow, insufficient testing"
CVE-2014-1745,"images, XML, complex inputs, browsers, denial of service, availability, fonts"
CVE-2014-1746,"integer overflow, buffer overflow, denial of service, availability, bounds checking"
CVE-2014-1747,"javascript, browsers, mimetypes, code execution"
CVE-2014-1748,"UI, XML, spoofing"
CVE-2014-3154,"browsers, javascript, threads, memory, miscommunication, design mistake"
CVE-2014-3155,"protocols, bounds checking, denial of service, availability"
CVE-2014-3156,"clipboard, IPC, buffer overflow"
CVE-2014-3157,"video, complex inputs, buffer overflow, denial of service, availability"
CVE-2014-3159,"spoofing, URL, phishing, origin policy, miscommunication, design mistake"
CVE-2014-3161,"video, complex inputs, browsers, origin policy, bypassing restrictions, confidentiality, design mistake"
CVE-2014-3166,"confidentiality, bypass restrictions, cryptography, public key, requirements"
CVE-2014-3169,"DOM, browsers, denial of service, availability, CSS, XML"
CVE-2014-3172,"API, extensions, browsers, bypassing restrictions, elevation of privilege, permissions, confidentiality, denial of service, availability"
CVE-2014-3173,"denial of service, availability, memory, confidentiality, logic errors, UI"
CVE-2014-3189,"bounds checking, images, complex inputs, buffer overflow, memory, denial of service, availability, confidentiality, design mistake"
CVE-2014-3190,"use-after-free, browsers, memory, denial of service, availability, javascript, code execution, pointers"
CVE-2014-3191,"UI, browsers, memory"
CVE-2014-3196,"memory, access controls, resources, browsers, windows, bypassing restrictions, authorization, requirements"
CVE-2014-3198,"UI, buffer overflow, denial of service, availability, integrity, code execution, edge cases"
CVE-2014-3201,"browsers, android, iframes, bounds checking, spoofing, CSS"
