ID,Topics
CVE-2014-3523,"buffer overflow, memory, confidentiality, denial of service, availability, multiprocessing"
CVE-2014-3581,"denial of service, availability, pointers, memory"
CVE-2014-3583,"bounds checking, memory, denial of service, availability, buffer overflow, protocols, design mistake, input validation, databases"
CVE-2014-3803,"browsers, audio, elevation of privilege, complex inputs"
CVE-2014-7809,"PRNG, authentication, bypassing restrictions, CSRF"
CVE-2014-7908,"integer overflow, complex inputs, denial of service, video, availability, resource exhaustion"
CVE-2014-7923,"regular expressions, browsers, character encodings, integer overflow, code execution, configuration"
CVE-2014-7924,"use-after-free, memory, code execution, integrity"
CVE-2014-7925,"browsers, audio, complex inputs, threads, denial of service, availability, garbage collection"
CVE-2014-7926,"regular expressions, denial of service, availability, memory, integrity"
CVE-2014-7929,"use-after-free, denial of service, availability, browsers, memory"
CVE-2014-7930,"DOM, C, memory, use-after-free, denial of service, availability, design mistake"
CVE-2014-7932,"memory, denial of service, bounds checking, code execution, availability, DOM, browsers, design mistake"
CVE-2014-7934,"browsers, denial of service, availability, javascript, memory, bounds checking, edge cases"
CVE-2014-7935,"browsers, memory, use-after-free, complex inputs, denial of service, availability"
CVE-2014-7936,"use-after-free, memory, code execution, elevation of privilege, denial of service, availability"
CVE-2014-7937,"complex inputs, audio, denial of service, availability, confidentiality, memory, bounds checking, edge cases"
CVE-2014-7939,"javascript, origin policy, browsers, confidentiality, sniffing, bypassing restrictions"
CVE-2014-7941,"integer overflow, denial of service, availability"
CVE-2014-7946,"browsers, denial of service, availability, code execution, UI"
CVE-2014-7948,"SSL, cryptography, spoofing, trust, memory, cache, man-in-the-middle, requirements"
CVE-2014-8109,"authorization, lua, bypassing restrictions, access controls, configuration, edge cases"
CVE-2014-9689,"sensors, side-channel attacks, iOS, android, confidentiality"
CVE-2015-1209,"denial of service, availability, browsers, javascript, DOM, use-after-free, design mistake, requirements"
CVE-2015-1210,"DOM, origin policy, access controls, exception handling"
CVE-2015-1211,"elevation of privilege, HTTP requests, API"
CVE-2015-1216,"browsers, javascript, denial of service, availability, memory, C, use-after-free"
CVE-2015-1217,"javascript, DOM, denial of service, availability, browsers, memory, type confusion, miscommunication, exception handling"
CVE-2015-1218,"denial of service, availability, integrity"
CVE-2015-1220,"browsers, memory, images, denial of service, availability, iframes, complex inputs, edge cases"
CVE-2015-1221,"browsers, threads, denial of service, availabilitity, databases"
CVE-2015-1222,"use-after-free, memory, bounds checking, integrity"
CVE-2015-1224,"images, complex inputs, denial of service, availability, bounds checking, video, miscommunication, design mistake"
CVE-2015-1227,"images, complex inputs, memory, bounds checking, design mistake"
CVE-2015-1228,"denial of service, availability, UI, input validation, design mistake, insufficient testing, sessions"
CVE-2015-1229,"code injection, browsers, cookies, design mistake"
CVE-2015-1234,"resources, threads, trust, memory, race conditions, buffer overflow, code execution, design mistake"
CVE-2015-1236,"audio, complex inputs, API"
CVE-2015-1237,"use-after-free, browsers, memory, denial of service, availability, code execution"
CVE-2015-1240,"denial of service, availability, UI, bounds checking, input validation"
CVE-2015-1241,"tapjacking, UI, sniffing, confidentiality, miscommunication, requirements"
CVE-2015-1243,"DOm, use-after-free, memory, denial of service, availability, integrity"
CVE-2015-1245,"use-after-free, memory, PDF, complex inputs, UI, denial of service, availability, buffer overflow, integrity"
CVE-2015-1247,"XML, URL"
CVE-2015-1251,"use-after-free, memory, code execution, pointers, complex inputs, UI, garbage collection"
CVE-2015-1252,"buffer overflow, C, memory, denial of service, availability, code execution, bounds checking, edge cases"
CVE-2015-1253,"DOM, javascript, browsers, origin policy, code injection, bypassing restrictions"
CVE-2015-1255,"audio, complex inputs, UI, use-after-free, memory, denial of service, availability"
CVE-2015-1256,"XML, images, complex inputs, browsers, resource exhaustion, denial of service, availability"
CVE-2015-1257,"complex inputs, denial of service, availability"
CVE-2015-1258,"video, complex inputs, browsers, buffer overflow, memory, miscommunication, configuration"
CVE-2015-1260,"code execution, javascript, memory, use-after-free"
CVE-2015-1262,"denial of service, character encodings, availability"
CVE-2015-1266,"UI, privilege management, URL, spoofing, browsers, bypassing restrictions"
CVE-2015-1267,"origin policy, confidentiality, API"
CVE-2015-1268,"DOM, origin policy, bypassing restrictions, confidentiality, design mistake"
CVE-2015-1269,"canonicalization, DNS, browsers, bypassing restrictions, confidentiality"
CVE-2015-1270,"denial of service, availability"
CVE-2015-1271,"PDF, complex inputs, memory, denial of service, availability, buffer overflow, miscommunication"
CVE-2015-1272,"memory, browsers, resources, denial of service, availability, code execution"
CVE-2015-1273,"images, complex inputs, buffer overflow, memory, integrity, denial of service, availability, pointers, PDF"
CVE-2015-1274,"browsers, mimetypes, requirements"
CVE-2015-1276,"use-after-free, memory, databases, denial of service, availability"
CVE-2015-1277,"denial of service, availability, memory, resource exhaustion, serialization"
CVE-2015-1279,"integer overflow, PDF, memory, integrity"
CVE-2015-1281,"browsers, extensions, javascript, bypassing restrictions, confidentiality"
CVE-2015-1282,"PDF, complex inputs, javascript, API, code execution, denial of service, availability, double-free, memory, design mistake"
CVE-2015-1284,"browsers, denial of service, availability, memory, bounds checking"
CVE-2015-1285,"XSS, code injection"
CVE-2015-1287,"browsers, CSS, mimetypes, code injection, confidentiality, design mistake"
CVE-2015-1292,"origin policy, XSS, browsers, design mistake, defense in depth"
CVE-2015-1293,"DOM, browsers, bypassing restrictions, origin policy, insecure defaults"
CVE-2015-1295,"PDF, browsers, denial of serive, IPC, availability, input validation"
CVE-2015-1296,"spoofing, fonts, URL, XML, browsers, character encoding, protocols, hyperlinks, requirements"
CVE-2015-1297,"bypassing restrictions, API"
CVE-2015-1299,logic errors
CVE-2015-1300,"UI, URL, browsers, design mistake"
CVE-2015-1302,"PDF, complex inputs, XSS, design mistake"
CVE-2015-1361,"images, complex inputs"
CVE-2015-1831,"input validation, code injection, design mistake"
CVE-2015-3183,"code execution, HTTP requests"
CVE-2015-3334,"permissions, browsers, UI"
CVE-2015-3336,"access controls, browsers, denial of service, availability"
CVE-2015-5209,"input validation, bypassing restrictions, code execution, integrity, sessuibs, insufficient testing, cookies, sessions, requirements"
CVE-2015-5351,"CSRF, HTTP requests, authentication, insecure defaults, sessions"
CVE-2015-6583,"spoofing, UI, browsers, phishing, design mistake, requirements"
CVE-2015-6755,"DOM, bypassing restrictions, code execution, confidentiality, edge cases"
CVE-2015-6757,"use-after-free, memory, denial of service, availability, C, garbage collection"
CVE-2015-6759,"confidentiality, browsers, URL"
CVE-2015-6761,"video, complex inputs, threads, denial of service, availability, race conditions"
CVE-2015-6762,"origin policy, bypassing restrictions, CSS, fonts, CORS, javascript"
CVE-2015-6765,"browsers, URL, denial of service, availability, use-after-free, memory, design mistake, requirements"
CVE-2015-6766,"browser, UI, denial of service, availability, design mistake, cache"
CVE-2015-6767,"browsers, use-after-free, memory, denial of service, availability, pointers, cache"
CVE-2015-6768,"HTML, denial of service, availability, edge cases"
CVE-2015-6769,"bypassing restrictions, origin policy, proxies"
CVE-2015-6772,"DOM, browsers, javascript"
CVE-2015-6774,"browsers, javascript, denial of service, availability, memory, code execution"
CVE-2015-6775,"denial of service, availability"
CVE-2015-6777,"denial of service, availability, use-after-free, memory, browsers"
CVE-2015-6778,"buffer overflow, PDF, complex inputs, browsers, images, memory"
CVE-2015-6779,"browsers, PDF, complex inputs, design mistake, requirements"
CVE-2015-6780,"denial of service, availability, browsers, use-after-free, memory, UI"
CVE-2015-6781,"integer overflow, denial of service, availability, fonts, miscommunication"
CVE-2015-6782,"DOM, browsers, input validation, spoofing, UI"
CVE-2015-6784,"browsers, integrity, trust"
CVE-2015-6785,bypassing restrictions
CVE-2015-6786,"XSS, browsers, bypassing restrictions"
CVE-2015-6788,"denial of service, availability, browsers, type confusion"
CVE-2015-6789,"use-after-free, pointers, memory, denial of service, availability"
CVE-2015-6790,"XSS, browsers, character encodings, CSRF"
CVE-2015-6792,"race conditions, browsers, code execution, denial of service, availability, audio"
CVE-2015-8479,"audio, complex inputs, authorization, denial of service, availability, memory, integrity, bounds echecking, use-after-free, IPC, design mistake"
CVE-2015-8480,"video, complex inputs, memory, confidentiality, bounds checking, denial of service, availability"
CVE-2016-0763,"authentication, design mistake"
CVE-2016-0785,"code execution, permissions, input validation, design mistake"
CVE-2016-1546,"threads, resource exhaustion, denial of service, availability, insufficient testing"
CVE-2016-1613,"use-after-free, memory, denial of service, availability, design mistake"
CVE-2016-1616,"URL, spoofing, edge cases"
CVE-2016-1617,bypassing restrictions
CVE-2016-1618,PRNG
CVE-2016-1619,"PDF, complex inputs, images, bounds checking, denial of service, availability"
CVE-2016-1622,"origin polocy, bypassing restrictions, browsers, extensions, confidentiality, integrity"
CVE-2016-1623,"code execution, HTML, design mistake"
CVE-2016-1624,"buffer overflow, integer overflow, denial of service, availability, memory, defense in depth"
CVE-2016-1625,"browsers, extensions, flash, design mistake"
CVE-2016-1628,"images, complex inputs, PDF, memory, bounds checking, code execution"
CVE-2016-1630,"browsers, DOM, UI, bypassing restrictions, origin policy, design mistake"
CVE-2016-1631,"flash, browsers, popups, origin policy, bypassing restrictions, denial of service, availability, code execution, confidentiality, design mistake"
CVE-2016-1632,"bypassing restrictions, javascript"
CVE-2016-1633,"use-after-free, memory, garbage collection"
CVE-2016-1634,"javascript, race conditions, memory, browsers, DOM"
CVE-2016-1635,"browsers, extensions, memory, use-after-free, pointers"
CVE-2016-1636,"integrity, browsers, URL, origin policy, cache"
CVE-2016-1638,"bypassing restrictions, access controls, DOM, javascript, requirements"
CVE-2016-1639,"use-after-free, audio, complex inputs, memory, denial of service, availability, API"
CVE-2016-1640,"browsers, extensions, spoofing, design mistake, requirements"
CVE-2016-1641,"images, denial of service, availability, use-after-free, memory, pointers, C, complex inputs"
CVE-2016-1643,"browsers, denial of service, availability, code execution, bounds checking, elevation of privilege, complex inputs"
CVE-2016-1644,"memory, use-after-free, code execution, integrity, miscommunication, requirements"
CVE-2016-1645,"denial of service, availability, images, PDF, metadata, integer overflow, code injection, integrity, buffer overflow, design mistake, bounds checking, complex inputs"
CVE-2016-1647,"use-after-free, memory, denial of service, availability, confidentiality, design mistake, browsers, authorization"
CVE-2016-1648,"browsers, extensions, memory, use-after-free, denial of service, availability, XSS, design mistake"
CVE-2016-1651,"confidentiality, images, PDF, complex inputs, memory, denial of service, availability"
CVE-2016-1652,"XSS, browsers, code injection, integrity, confidentiality, setters are dangerous"
CVE-2016-1655,"denial of service, availability, use-after-free, memory, browsers, extensions, design mistake, requirements"
CVE-2016-1656,"canonicalization, browsers, input validation, requirements"
CVE-2016-1657,"URL, spoofing, browsers"
CVE-2016-1660,"denial of service, availability, buffer overflow"
CVE-2016-1661,"browsers, origin policy, denial of service, availability, UI, design mistake"
CVE-2016-1667,"code execution, XML, origin policy, design, mistake"
CVE-2016-1668,"browsers, origin policy, bypassing restrictions, confidentiality, javascript, code execution, defense in depth"
CVE-2016-1671,"browsers, android, input validation, character encodings"
CVE-2016-1673,"XSS, bypassing restrictions, origin policy"
CVE-2016-1675,"origin polocy, bypassing restrictions, browsers, elevation of privilege, code execution, design mistake"
CVE-2016-1679,"setters are dangerous, denial of service, availability, browsers, use-after-free, memory"
CVE-2016-1682,bypassing restrictions
CVE-2016-1686,"PDF, complex inputs, denial of service, availability, images"
CVE-2016-1687,"browsers, confidentiality, encapsulation, extensions"
CVE-2016-1689,"buffer overflow, browsers, DOM, XML, video, images, bounds checking, complex inputs"
CVE-2016-1692,"CSS, code injection, native bindings, design mistake"
CVE-2016-1693,"spoofing, man-in-the-middle, browsers, miscommunication, cryptography"
CVE-2016-1696,"bypassing restrictions, origin policy, browsers, extensions, confidentiality, integrity, input validation"
CVE-2016-1697,"javascript, iframes, code injection, origin policy, code execution, design mistake"
CVE-2016-1698,"browsers, extensions, confidentiality, design mistake"
CVE-2016-1699,"distrustful decomposition, javascript, confidentiality"
CVE-2016-1700,"browsers, extensions, setters are dangerous"
CVE-2016-1706,"flash, browsers, permissions, input validation, IPC, UI, API, cookies, defense in depth"
CVE-2016-1707,"UI, URL, browsers, input validation, spoofing, logic errors"
CVE-2016-1708,"browsers, extensions, denial of service, availability"
CVE-2016-1709,"buffer overflow, denial of service, memory, availability"
CVE-2016-1710,"design mistake, code injection, origin policy, bypassing restrictions"
CVE-2016-1711,"browsers, bypassing restrictions, origin policy"
CVE-2016-2161,"denial of service, availability, edge cases"
CVE-2016-2162,"internationalization, character encodings, input validation, UI, XSS"
CVE-2016-2844,"denial of service, availability"
CVE-2016-2845,"confidentiality, bypassing restrictions, browsers"
CVE-2016-3081,"code execution, code injection, input validation, bypassing restrictions, design mistake"
CVE-2016-3082,"complex inputs, code execution, input validation"
CVE-2016-3087,"code execution, extensions, input validation"
CVE-2016-3090,"code injection, code execution, java, setters are dangerous, JSP, input validation, design mistake"
CVE-2016-3092,"bounds checking, denial of service, availability"
CVE-2016-4430,"CSRF, code execution, regular expressions, input validation"
CVE-2016-4433,"bypassing restrictions, permissions, spoofing, confidentiality, design mistake"
CVE-2016-4438,"code execution, denial of service, availability, input validation, insufficient testing"
CVE-2016-4461,"input validation, forms, metadata, recursion, code execution"
CVE-2016-4465,"denial of service, availability, input validation, URL, regular expressions, complex inputs, exception handling"
CVE-2016-5127,"browsers, denial of service, availability, javascript, CSS, XSS"
CVE-2016-5130,"browsers, UI, spoofing, denial of service, availability"
CVE-2016-5131,"XML, complex inputs, use-after-free, memory, denial of service, availability, code execution"
CVE-2016-5132,"browsers, SSL, cryptography, iframes"
CVE-2016-5133,"confidentiality, requirements"
CVE-2016-5134,"URL, confidentiality, requirements"
CVE-2016-5136,"use-after-free, memory, denial of service, availability, code injection, design mistake"
CVE-2016-5137,"IPC, images, complex inputs, cache, sniffing, requirements, design mistake"
CVE-2016-5139,"buffer overflow, images, complex inputs, memory, bounds checking"
CVE-2016-5142,"cryptography, denial of service, availability, javascript, use-after-free, memory, browsers, API"
CVE-2016-5143,"access controls, input validation, URL, browsers, path traversal"
CVE-2016-5144,"browsers, input validation, bypassing restrictions, access controls, code injection, extensions, XSS"
CVE-2016-5145,"bypassing restrictions, origin policy, browsers, javascript, images, complex inputs, UI"
CVE-2016-5147,"UI, code injection, HTML"
CVE-2016-5148,"browsers, XSS, code injection"
CVE-2016-5149,"iframes, browsers, denial of service, availability, extensions, javascript, code injection, spoofing, confidentiality, bypassing restrictions, authentication, cookies"
CVE-2016-5150,"browsers, C, use-after-free, memory, code execution, API, edge cases"
CVE-2016-5151,"PDF, complex inputs, denial of service, availability, use-after-free, memory"
CVE-2016-5152,"images, complex inputs, PDF, integer overflow, denial of service, availability, buffer overflow, design mistake"
CVE-2016-5156,"C, use-after-free, memory, denial of service, availability, edge cases"
CVE-2016-5157,"buffer overflow, images, PDF, code execution, integer overflow, browsers, bounds checking, complex inputs"
CVE-2016-5158,"integer overflow, PDF, images, complex inputs, denial of service, availability, buffer overflow"
CVE-2016-5160,"browsers, extensions, JSON, complex inputs, iframes, phishing, requirements"
CVE-2016-5161,"browsers, CSS, memory, denial of service, availability, confidentiality, design mistake"
CVE-2016-5163,"internationalization, URL, character encodings, spoofing, design mistake, requirements"
CVE-2016-5165,"URL, browsers, javascript, code injection, XSS"
CVE-2016-5166,"browsers, extensions, design mistake"
CVE-2016-5171,"denial of service, availability, native bindings"
CVE-2016-5173,"browsers, javascript, extensions, integrity, garbage collection, design mistake"
CVE-2016-5174,"browsers, popups, denial of service, availability, origin policy, flash, requirements"
CVE-2016-5387,"environment variables, man-in-the-middle, proxies, HTTP requests, design mistake"
CVE-2016-6795,"URL, input validation, code injection, code execution"
CVE-2016-6817,"denial of service, availability, edge cases, buffer overflow, bounds checking"
CVE-2016-7395,"input validation, denial of service, availability, UI"
CVE-2016-7549,"IPC, denial of service, availability, code execution, design mistake"
CVE-2016-8738,"URL, input validation, denial of service, availability, regular expressions, insuficient testing"
CVE-2016-8740,"denial of service, availability, threads, insufficient testing, design mistake"
CVE-2016-8743,"configuration, cache, integrity, input validation, design mistake"
CVE-2016-8747,"java, logic errors, confidentiality, buffer overflow"
CVE-2017-0561,code execution
CVE-2017-12611,"code execution, HTML"
CVE-2017-12615,"bypassing restrictions, files, design mistake, URL, input validation"
CVE-2017-12616,"bypassing restrictions, java, JSP, confidentiality"
CVE-2017-12617,"java, JSP, code execution, miscommunication, configuration"
CVE-2017-15386,"UI, spoofing"
CVE-2017-15387,bypassing restrictions
CVE-2017-15388,"UI, bounds checking"
CVE-2017-15389,"URL, spoofing"
CVE-2017-15390,"URL, spoofing"
CVE-2017-15391,"bypassing restrictions, extensions, browsers"
CVE-2017-15392,"exception handling, integration"
CVE-2017-15393,confidentiality
CVE-2017-15394,"URL, spoofing, extensions, UI"
CVE-2017-15395,"pointers, memory, images, complex inputs"
CVE-2017-15396,"buffer overflow, UI"
CVE-2017-15397,security by obscurity
CVE-2017-15398,buffer overflow
CVE-2017-15399,use-after-free
CVE-2017-15400,code injection
CVE-2017-15401,"bounds checking, memory, UI"
CVE-2017-15402,elevation of privilege
CVE-2017-15403,code injection
CVE-2017-15404,"path traversal, canonicalization, denial of service, availability, processes"
CVE-2017-15405,"race conditions, cryptography, path traversal, code execution, elevation of privilege, design mistake"
CVE-2017-15406,buffer overflow
CVE-2017-15407.yml,bounds checking
CVE-2017-15408,"buffer overflow, PDF, complex inputs"
CVE-2017-15409,"bounds checking, UI"
CVE-2017-15410,"use-after-free, PDF, complex inputs"
CVE-2017-15411,"use-after-free, memory, PDF, complex inputs"
CVE-2017-15412,"use-after-free, XML"
CVE-2017-15413,type confusion
CVE-2017-15415,"memory, pointers, confidentiality, IPC"
CVE-2017-15416,"bounds checking, UI"
CVE-2017-15417,"origin policy, confidentiality, UI"
CVE-2017-15418,UI
CVE-2017-15419,"origin policy, URL, UI"
CVE-2017-15420,"spoofing, URL"
CVE-2017-15422,integer overflow
CVE-2017-15423,"SSL, cryptography"
CVE-2017-15424,"URL, spoofing"
CVE-2017-15425,"URL, spoofing"
CVE-2017-15426,"spoofing, URL"
CVE-2017-15427,javascript
CVE-2017-15428,bounds checking
CVE-2017-15429,XSS
CVE-2017-15706,code execution
CVE-2017-15707,"JSON, complex inputs, denial of service, availability"
CVE-2017-5029,"integer overflow, complex inputs, C, memory"
CVE-2017-5030,"memory, integrity"
CVE-2017-5031,"use-after-free, memory"
CVE-2017-5032,"PDF, bounds checking, pointers, memory, complex inputs, input validation"
CVE-2017-5033,"bypassing restrictions, UI, javascript"
CVE-2017-5034,"use-after-free, PDF, complex inputs"
CVE-2017-5035,UI
CVE-2017-5036,"use-after-free, memory, PDF, complex inputs"
CVE-2017-5037,bounds checking
CVE-2017-5038,"javascript, browsers, code execution, design mistake"
CVE-2017-5039,"use-after-free, PDF, complex inputs"
CVE-2017-5040,confidentiality
CVE-2017-5041,"spoofing, forms, SSL, cryptography"
CVE-2017-5042,"cookies, browsers"
CVE-2017-5043,use-after-free
CVE-2017-5044,"buffer overflow, UI"
CVE-2017-5045,"confidentiality, XSS, confidentiality"
CVE-2017-5046,confidentiality
CVE-2017-5052,type casting
CVE-2017-5053,"bounds checking, memory"
CVE-2017-5054,"buffer overflow, UI"
CVE-2017-5055,"use-after-free, iframes, memory, UI"
CVE-2017-5056,"use-after-free, UI, memory"
CVE-2017-5057,"PDF, complex inputs, type confusion"
CVE-2017-5058,"use-after-free, memory, UI"
CVE-2017-5059,type confusion
CVE-2017-5060,"spoofing, browsers, fonts, URL"
CVE-2017-5061,"URL, spoofing"
CVE-2017-5062,"use-after-free, memory, browsers"
CVE-2017-5063,"buffer overflow, UI"
CVE-2017-5064,"use-after-free, video, complex inputs, DOM, denial of service, availability"
CVE-2017-5065,"UI, forms"
CVE-2017-5066,cryptography
CVE-2017-5067,"URL, spoofing, browsers"
CVE-2017-5068,"race conditions, iframes"
CVE-2017-5069,"origin policy, bypassing restrictions, URL, JSON, complex inputs, CORS"
CVE-2017-5070,type confusion
CVE-2017-5071,bounds checking
CVE-2017-5072,"spoofing, URL"
CVE-2017-5073,use-after-free
CVE-2017-5074,"use-after-free, memory"
CVE-2017-5075,"confidentiality, javascript"
CVE-2017-5076,"spoofing, character encodings"
CVE-2017-5077,"buffer overflow, memory, UI"
CVE-2017-5078,code injection
CVE-2017-5079,"UI, spoofing, origin policy"
CVE-2017-5080,"use-after-free, browsers, memory"
CVE-2017-5081,"extensions, browsers, bypassing restrictions, input validation, malware"
CVE-2017-5082,"security by obscurity, android"
CVE-2017-5083,"UI, spoofing"
CVE-2017-5084,confidentiality
CVE-2017-5085,"javascript, UI"
CVE-2017-5086,spoofing
CVE-2017-5087,"databases, bypassing restrictions, pointers, UI"
CVE-2017-5088,"bounds checking, UI, confidentiality"
CVE-2017-5089,"spoofing, character encodings, mac"
CVE-2017-5091,"use-after-free, memory, databases, pointers"
CVE-2017-5092,"use-after-free, memory, IPC, denial of service, availability"
CVE-2017-5093,"spoofing, browsers, popups, UI, input validation, confidentiality, design mistake"
CVE-2017-5094,"type confusion, extensions"
CVE-2017-5095,"bounds checking, PDF, complex inputs"
CVE-2017-5096,"confidentiality, android, URL"
CVE-2017-5097,"bounds checking, UI"
CVE-2017-5098,"use-after-free, memory, UI"
CVE-2017-5099,"bypassing restrictions, integrity, elevation of privilege"
CVE-2017-5100,"use-after-free, browsers"
CVE-2017-5101,"URL, spoofing"
CVE-2017-5102,"memory, UI"
CVE-2017-5103,"UI, memory"
CVE-2017-5104,"UI, spoofing, mac"
CVE-2017-5105,"URL, spoofing"
CVE-2017-5106,"spoofing, URL, fonts"
CVE-2017-5107,"confidentiality, images, XML, iframes, side-channel attacks, URL, origin policy, complex inputs"
CVE-2017-5108,type confusion
CVE-2017-5109,"UI, spoofing, browsers, javascript"
CVE-2017-5110,"UI, spoofing, origin policy, "
CVE-2017-5111,"use-after-free, memory, PDF, complex inputs"
CVE-2017-5112,"UI, buffer overflow, memory"
CVE-2017-5113,"buffer overflow, UI"
CVE-2017-5114,"memory, PDF, complex inputs"
CVE-2017-5115,type confusion
CVE-2017-5116,type confusion
CVE-2017-5117,"memory, UI"
CVE-2017-5118,bypassing restrictions
CVE-2017-5119,"UI, memory"
CVE-2017-5120,HTTP
CVE-2017-5121,bounds checking
CVE-2017-5122,"bounds checking, javascript, C"
CVE-2017-5124,XSS
CVE-2017-5125,"buffer overflow, UI"
CVE-2017-5126,"use-after-free, memory, PDF, complex inputs"
CVE-2017-5127,"use-after-free, PDF, complex inputs"
CVE-2017-5128,"buffer overflow, API, complex inputs, UI"
CVE-2017-5129,"use-after-free, audio, complex inputs"
CVE-2017-5130,"buffer overflow, memory, XML, complex inputs"
CVE-2017-5131,"bounds checking, UI"
CVE-2017-5132,buffer overflow
CVE-2017-5133,"bounds checking, UI"
CVE-2017-5638,"code execution, exception handling"
CVE-2017-5648,"integrity, HTTP requests, confidentiality, design mistake, permissions"
CVE-2017-5650,"denial of service, HTTP requests, availability, resource exhaustion, threads, design mistake, insufficient testing, edge cases"
CVE-2017-5651,"HTTP requests, confidentiality, cache, threads"
CVE-2017-6991,"pointers, memory, SQL, databases"
CVE-2017-7659,"linux, HTTP requests, pointers, memory, denial of service, availability, bounds checking"
CVE-2017-7668,"buffer overflow, memory, C, integrity"
CVE-2017-7672,"URL, form, input valiation, denial of service, availability, regular expressions, design mistake, insufficient testing"
CVE-2017-7674,"origin policy, CORS, cache, bypassing restrictions, design mistake"
CVE-2017-7675,"URL, complex inputs, insufficient testing"
CVE-2017-7679,"metadata, character encodings, mimetypes, buffer overflow, denial of service, availability, integrity, confidentiality"
CVE-2017-9787,"proxies, denial of service, availability, design mistake, permissions"
CVE-2017-9791,"command injection, SQL injection, databases"
CVE-2017-9793,"extensions, serialization, XML, denial of service, availability"
CVE-2017-9798,"configuration, confidentiality, memory, use-after-free, denial of service, availability, design mistake"
CVE-2017-9804,"insufficient testing, denial of service, availability, regular expressions"
CVE-2017-9805,"code execution, XML, input validation, design mistake, serialization, insufficient testing"
CVE-2018-11776,"code execution, input validation, command injection"
CVE-2018-11784,"URL, input validation"
CVE-2018-1305,"elevation of privilege, design mistake"
CVE-2018-1327,"extensions, serialization, java, denial of service, XML, distrustful decomposition, input validation"
CVE-2018-1336,"internationalization, character encodings, denial of sevice, availability, buffer overflow"
CVE-2018-8037,"race conditions, confidentiality, edge cases"
This-is-a-Test,"android, iOS, authorization"